timestamp,parameter,value,is_anomaly,anomaly_type
2025-01-01 00:05:40,ATTITUDE_PITCH,1.544,0,none
2025-01-01 00:14:00,ATTITUDE_PITCH,0.1621,0,none
2025-01-01 00:22:20,ATTITUDE_PITCH,0.6891,0,none
2025-01-01 00:30:40,ATTITUDE_PITCH,0.9502,0,none
2025-01-01 00:39:00,ATTITUDE_PITCH,1.1644,0,none
2025-01-01 00:47:20,ATTITUDE_PITCH,0.8395,0,none
2025-01-01 00:55:40,ATTITUDE_PITCH,0.6325,0,none
2025-01-01 01:04:00,ATTITUDE_PITCH,0.9198,0,none
2025-01-01 01:12:20,ATTITUDE_PITCH,1.0479,0,none
2025-01-01 01:20:40,ATTITUDE_PITCH,0.684,0,none
2025-01-01 01:29:00,ATTITUDE_PITCH,0.1697,0,none
2025-01-01 01:37:20,ATTITUDE_PITCH,1.2814,0,none
2025-01-01 01:45:40,ATTITUDE_PITCH,0.9813,0,none
2025-01-01 01:54:00,ATTITUDE_PITCH,1.7032,0,none
2025-01-01 02:02:20,ATTITUDE_PITCH,0.7942,0,none
2025-01-01 02:10:40,ATTITUDE_PITCH,0.739,0,none
2025-01-01 02:19:00,ATTITUDE_PITCH,0.5591,0,none
2025-01-01 02:27:20,ATTITUDE_PITCH,1.1349,0,none
2025-01-01 02:35:40,ATTITUDE_PITCH,1.5462,0,none
2025-01-01 02:44:00,ATTITUDE_PITCH,-0.3148,0,none
2025-01-01 02:52:20,ATTITUDE_PITCH,1.3905,0,none
2025-01-01 03:00:40,ATTITUDE_PITCH,1.1979,0,none
2025-01-01 03:09:00,ATTITUDE_PITCH,1.6192,0,none
2025-01-01 03:17:20,ATTITUDE_PITCH,1.8991,0,none
2025-01-01 03:25:40,ATTITUDE_PITCH,-0.064,0,none
2025-01-01 03:34:00,ATTITUDE_PITCH,1.3643,0,none
2025-01-01 03:42:20,ATTITUDE_PITCH,1.6106,0,none
2025-01-01 03:50:40,ATTITUDE_PITCH,1.4687,0,none
2025-01-01 03:59:00,ATTITUDE_PITCH,-1.0308,0,none
2025-01-01 04:07:20,ATTITUDE_PITCH,-0.6745,0,none
