timestamp,command,value
2025-01-01 00:00:15,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:00:26,CMD_GYRO_CALIBRATE,1
2025-01-01 00:04:04,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:04:06,CMD_ORBIT_CORRECTION,1
2025-01-01 00:04:20,CMD_PAYLOAD_ON,1
2025-01-01 00:04:31,CMD_REBOOT_OBC,1
2025-01-01 00:05:06,CMD_REBOOT_OBC,1
2025-01-01 00:05:06,CMD_REBOOT_OBC,0
2025-01-01 00:05:37,CMD_DOWNLINK_START,1
2025-01-01 00:06:35,CMD_PAYLOAD_OFF,1
2025-01-01 00:06:45,CMD_PAYLOAD_ON,1
2025-01-01 00:07:14,CMD_PAYLOAD_ON,1
2025-01-01 00:07:23,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:08:17,CMD_DOWNLINK_STOP,0
2025-01-01 00:08:31,CMD_PAYLOAD_OFF,1
2025-01-01 00:08:47,CMD_REBOOT_OBC,1
2025-01-01 00:10:33,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:12:10,CMD_PAYLOAD_OFF,1
2025-01-01 00:13:44,CMD_REBOOT_OBC,1
2025-01-01 00:16:27,CMD_ORBIT_CORRECTION,1
2025-01-01 00:17:02,CMD_DOWNLINK_STOP,1
2025-01-01 00:17:11,CMD_PAYLOAD_OFF,1
2025-01-01 00:17:47,CMD_PAYLOAD_OFF,1
2025-01-01 00:18:11,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:18:19,CMD_PAYLOAD_OFF,1
2025-01-01 00:18:48,CMD_DOWNLINK_STOP,1
2025-01-01 00:20:25,CMD_BATTERY_CHARGE,1
2025-01-01 00:21:40,CMD_GYRO_CALIBRATE,1
2025-01-01 00:22:40,CMD_REBOOT_OBC,1
2025-01-01 00:24:14,CMD_DOWNLINK_START,1
2025-01-01 00:26:40,CMD_SAFE_MODE,1
2025-01-01 00:26:57,CMD_PAYLOAD_ON,1
2025-01-01 00:27:00,CMD_PAYLOAD_OFF,1
2025-01-01 00:27:00,CMD_ORBIT_CORRECTION,0
2025-01-01 00:28:21,CMD_PAYLOAD_ON,1
2025-01-01 00:28:31,CMD_PAYLOAD_ON,1
2025-01-01 00:29:38,CMD_SAFE_MODE,0
2025-01-01 00:29:59,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:30:32,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:31:25,CMD_PAYLOAD_OFF,1
2025-01-01 00:31:59,CMD_REBOOT_OBC,1
2025-01-01 00:32:04,CMD_SAFE_MODE,1
2025-01-01 00:32:18,CMD_REBOOT_OBC,1
2025-01-01 00:33:36,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:33:45,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:34:18,CMD_GYRO_CALIBRATE,1
2025-01-01 00:34:36,CMD_DOWNLINK_START,1
2025-01-01 00:34:53,CMD_REBOOT_OBC,1
2025-01-01 00:37:08,CMD_DOWNLINK_START,1
2025-01-01 00:37:26,CMD_SAFE_MODE,1
2025-01-01 00:39:49,CMD_ORBIT_CORRECTION,1
2025-01-01 00:39:55,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:41:13,CMD_SAFE_MODE,1
2025-01-01 00:42:23,CMD_BATTERY_CHARGE,1
2025-01-01 00:43:51,CMD_BATTERY_CHARGE,1
2025-01-01 00:44:30,CMD_PAYLOAD_ON,1
2025-01-01 00:44:53,CMD_GYRO_CALIBRATE,1
2025-01-01 00:46:19,CMD_ORBIT_CORRECTION,1
2025-01-01 00:47:17,CMD_ORBIT_CORRECTION,1
2025-01-01 00:48:45,CMD_REBOOT_OBC,1
2025-01-01 00:49:54,CMD_PAYLOAD_OFF,1
2025-01-01 00:51:05,CMD_DOWNLINK_STOP,0
2025-01-01 00:51:38,CMD_REBOOT_OBC,1
2025-01-01 00:53:19,CMD_GYRO_CALIBRATE,1
2025-01-01 00:53:21,CMD_REBOOT_OBC,1
2025-01-01 00:53:32,CMD_REBOOT_OBC,1
2025-01-01 00:53:36,CMD_ATTITUDE_ADJUST,1
2025-01-01 00:54:33,CMD_PAYLOAD_ON,1
2025-01-01 00:54:40,CMD_PAYLOAD_OFF,1
2025-01-01 00:56:32,CMD_PAYLOAD_OFF,1
2025-01-01 00:57:45,CMD_ORBIT_CORRECTION,1
2025-01-01 00:58:35,CMD_SAFE_MODE,1
2025-01-01 00:58:56,CMD_SAFE_MODE,1
2025-01-01 00:59:06,CMD_PAYLOAD_OFF,1
2025-01-01 00:59:37,CMD_GYRO_CALIBRATE,1
2025-01-01 01:00:51,CMD_PAYLOAD_ON,1
2025-01-01 01:01:28,CMD_PAYLOAD_OFF,1
2025-01-01 01:01:31,CMD_PAYLOAD_ON,1
2025-01-01 01:01:52,CMD_PAYLOAD_ON,1
2025-01-01 01:02:50,CMD_PAYLOAD_ON,1
2025-01-01 01:04:49,CMD_DOWNLINK_START,1
2025-01-01 01:05:09,CMD_GYRO_CALIBRATE,1
2025-01-01 01:08:10,CMD_DOWNLINK_START,1
2025-01-01 01:08:31,CMD_ATTITUDE_ADJUST,1
2025-01-01 01:08:32,CMD_PAYLOAD_OFF,1
2025-01-01 01:08:53,CMD_PAYLOAD_OFF,1
2025-01-01 01:09:39,CMD_GYRO_CALIBRATE,1
2025-01-01 01:11:03,CMD_GYRO_CALIBRATE,1
2025-01-01 01:11:10,CMD_DOWNLINK_START,1
2025-01-01 01:13:02,CMD_DOWNLINK_START,1
2025-01-01 01:14:46,CMD_DOWNLINK_STOP,1
2025-01-01 01:15:07,CMD_PAYLOAD_OFF,1
2025-01-01 01:15:11,CMD_SAFE_MODE,1
2025-01-01 01:15:21,CMD_DOWNLINK_STOP,1
2025-01-01 01:15:33,CMD_PAYLOAD_ON,1
2025-01-01 01:18:01,CMD_PAYLOAD_OFF,0
2025-01-01 01:19:44,CMD_REBOOT_OBC,1
2025-01-01 01:20:56,CMD_PAYLOAD_OFF,0
2025-01-01 01:21:16,CMD_DOWNLINK_STOP,1
2025-01-01 01:21:27,CMD_ATTITUDE_ADJUST,1
2025-01-01 01:21:29,CMD_PAYLOAD_OFF,1
2025-01-01 01:21:41,CMD_ATTITUDE_ADJUST,1
2025-01-01 01:22:43,CMD_DOWNLINK_START,1
2025-01-01 01:23:44,CMD_PAYLOAD_ON,1
2025-01-01 01:24:09,CMD_PAYLOAD_OFF,1
2025-01-01 01:24:16,CMD_PAYLOAD_OFF,1
2025-01-01 01:25:04,CMD_ATTITUDE_ADJUST,1
2025-01-01 01:25:42,CMD_PAYLOAD_OFF,1
2025-01-01 01:25:49,CMD_BATTERY_CHARGE,1
2025-01-01 01:27:47,CMD_SAFE_MODE,1
2025-01-01 01:29:59,CMD_DOWNLINK_STOP,1
2025-01-01 01:30:45,CMD_ATTITUDE_ADJUST,1
2025-01-01 01:31:32,CMD_ATTITUDE_ADJUST,1
2025-01-01 01:31:46,CMD_DOWNLINK_STOP,0
2025-01-01 01:32:38,CMD_REBOOT_OBC,1
2025-01-01 01:33:00,CMD_DOWNLINK_START,1
2025-01-01 01:39:29,CMD_DOWNLINK_STOP,1
2025-01-01 01:41:06,CMD_DOWNLINK_START,1
2025-01-01 01:41:46,CMD_REBOOT_OBC,1
2025-01-01 01:41:54,CMD_ORBIT_CORRECTION,1
2025-01-01 01:44:16,CMD_PAYLOAD_OFF,1
2025-01-01 01:45:21,CMD_PAYLOAD_OFF,1
2025-01-01 01:46:25,CMD_SAFE_MODE,1
2025-01-01 01:46:56,CMD_PAYLOAD_OFF,0
2025-01-01 01:47:30,CMD_DOWNLINK_STOP,0
2025-01-01 01:49:13,CMD_GYRO_CALIBRATE,1
2025-01-01 01:49:25,CMD_DOWNLINK_STOP,1
2025-01-01 01:49:26,CMD_PAYLOAD_ON,0
2025-01-01 01:49:29,CMD_PAYLOAD_ON,1
2025-01-01 01:49:44,CMD_DOWNLINK_STOP,1
2025-01-01 01:49:58,CMD_ATTITUDE_ADJUST,1
2025-01-01 01:50:11,CMD_ORBIT_CORRECTION,1
2025-01-01 01:50:41,CMD_DOWNLINK_START,1
