timestamp,parameter,value,hour,minute,day,weekday,is_weekend,elapsed_sec,minute_of_day,rolling_mean_5,rolling_std_5,rolling_mean_10,deviation_from_mean,change_rate,abs_change_rate,lag_1,lag_2,lag_3,z_score
2025-01-01 00:00:00,GYRO_Z,-0.0028,0,0,1,2,0,0.0,0,-0.0028,0.0,-0.0028,0.0,0.0,0.0,-0.0028,-0.0028,-0.0028,0.0
2025-01-01 00:00:10,ATTITUDE_ROLL,0.1043,0,0,1,2,0,10.0,0,0.1043,0.0,0.1043,0.0,0.0,0.0,0.1043,0.1043,0.1043,0.0
2025-01-01 00:00:20,MEMORY_USAGE,53.2221,0,0,1,2,0,20.0,0,53.2221,0.0,53.2221,0.0,0.0,0.0,53.2221,53.2221,53.2221,0.0
2025-01-01 00:00:30,GYRO_Z,0.0108,0,0,1,2,0,30.0,0,0.004,0.009616652224137047,0.004,0.0068000000000000005,0.013600000000000001,0.013600000000000001,-0.0028,-0.0028,-0.0028,0.7071067811865475
2025-01-01 00:00:40,RF_SIGNAL_STRENGTH,-67.9787,0,0,1,2,0,40.0,0,-67.9787,0.0,-67.9787,0.0,0.0,0.0,-67.9787,-67.9787,-67.9787,0.0
2025-01-01 00:00:50,ATTITUDE_ROLL,-0.0923,0,0,1,2,0,50.0,0,0.006000000000000005,0.13901719318127526,0.006000000000000005,-0.0983,-0.1966,0.1966,0.1043,0.1043,0.1043,-0.7071067811865475
2025-01-01 00:01:00,ATTITUDE_ROLL,-0.089,0,1,1,2,0,60.0,1,-0.02566666666666666,0.11256652847686711,-0.02566666666666666,-0.06333333333333334,0.0032999999999999974,0.0032999999999999974,-0.0923,0.1043,0.1043,-0.5626302435572453
2025-01-01 00:01:10,ATTITUDE_ROLL,0.0416,0,1,1,2,0,70.0,1,-0.008849999999999997,0.09787074809836355,-0.008849999999999997,0.050449999999999995,0.1306,0.1306,-0.089,-0.0923,0.1043,0.5154757778013096
2025-01-01 00:01:20,THRUSTER_TEMP,23.0362,0,1,1,2,0,80.0,1,23.0362,0.0,23.0362,0.0,0.0,0.0,23.0362,23.0362,23.0362,0.0
2025-01-01 00:01:30,PAYLOAD_TEMP,24.8144,0,1,1,2,0,90.0,1,24.8144,0.0,24.8144,0.0,0.0,0.0,24.8144,24.8144,24.8144,0.0
2025-01-01 00:01:40,ATTITUDE_YAW,-0.0941,0,1,1,2,0,100.0,1,-0.0941,0.0,-0.0941,0.0,0.0,0.0,-0.0941,-0.0941,-0.0941,0.0
2025-01-01 00:01:50,DATA_RATE,99.5262,0,1,1,2,0,110.0,1,99.5262,0.0,99.5262,0.0,0.0,0.0,99.5262,99.5262,99.5262,0.0
2025-01-01 00:02:00,SOLAR_POWER,100.4357,0,2,1,2,0,120.0,2,100.4357,0.0,100.4357,0.0,0.0,0.0,100.4357,100.4357,100.4357,0.0
2025-01-01 00:02:10,ATTITUDE_PITCH,0.0094,0,2,1,2,0,130.0,2,0.0094,0.0,0.0094,0.0,0.0,0.0,0.0094,0.0094,0.0094,0.0
2025-01-01 00:02:20,SOLAR_POWER,101.0099,0,2,1,2,0,140.0,2,100.7228,0.4060207137573139,100.7228,0.28709999999999525,0.5742000000000047,0.5742000000000047,100.4357,100.4357,100.4357,0.7071067811865387
2025-01-01 00:02:30,ATTITUDE_PITCH,0.1853,0,2,1,2,0,150.0,2,0.09734999999999999,0.12438008281071371,0.09734999999999999,0.08795,0.1759,0.1759,0.0094,0.0094,0.0094,0.7071067811865476
2025-01-01 00:02:40,GYRO_Z,-0.0096,0,2,1,2,0,160.0,2,-0.000533333333333333,0.010387171575233238,-0.000533333333333333,-0.009066666666666666,-0.0204,0.0204,0.0108,-0.0028,-0.0028,-0.8728715609439693
2025-01-01 00:02:50,ATTITUDE_YAW,0.6131,0,2,1,2,0,170.0,2,0.2595,0.5000659156551264,0.2595,0.35359999999999997,0.7071999999999999,0.7071999999999999,-0.0941,-0.0941,-0.0941,0.7071067811865476
2025-01-01 00:03:00,GYRO_X,-0.0032,0,3,1,2,0,180.0,3,-0.0032,0.0,-0.0032,0.0,0.0,0.0,-0.0032,-0.0032,-0.0032,0.0
2025-01-01 00:03:10,THRUSTER_TEMP,22.6705,0,3,1,2,0,190.0,3,22.85335,0.2585889498799194,22.85335,-0.1828499999999984,-0.36570000000000036,0.36570000000000036,23.0362,23.0362,23.0362,-0.7071067811865441
2025-01-01 00:03:20,GYRO_Z,0.0063,0,3,1,2,0,200.0,3,0.0011750000000000003,0.009143440271582683,0.0011750000000000003,0.005124999999999999,0.015899999999999997,0.015899999999999997,-0.0096,0.0108,-0.0028,0.5605111257661104
2025-01-01 00:03:30,SOLAR_POWER,101.0101,0,3,1,2,0,210.0,3,100.81856666666665,0.33157227467526634,100.81856666666665,0.19153333333333933,0.00019999999999242846,0.00019999999999242846,101.0099,100.4357,100.4357,0.5776518363030272
2025-01-01 00:03:40,DATA_RATE,94.7253,0,3,1,2,0,220.0,3,97.12575000000001,3.3947489457985003,97.12575000000001,-2.4004500000000064,-4.800899999999999,4.800899999999999,99.5262,99.5262,99.5262,-0.7071067811865486
2025-01-01 00:03:50,CPU_TEMP,44.7354,0,3,1,2,0,230.0,3,44.7354,0.0,44.7354,0.0,0.0,0.0,44.7354,44.7354,44.7354,0.0
