timestamp,parameter,value,hour,minute,second,day,month,weekday,is_weekend,minute_of_day,elapsed_sec,rolling_mean_5,rolling_mean_10,rolling_std_5,deviation_from_mean,change_rate,abs_change_rate,lag_1,lag_2,lag_3,z_score
2025-01-01 00:00:00,BATT_VOLTAGE_1,28.5591,0,0,0,1,1,2,0,0,0.0,28.5591,28.5591,0.0,0.0,0.0,0.0,28.5591,28.5591,28.5591,0.0
2025-01-01 00:00:10,BATT_VOLTAGE_2,28.3917,0,0,10,1,1,2,0,0,10.0,28.3917,28.3917,0.0,0.0,0.0,0.0,28.3917,28.3917,28.3917,0.0
2025-01-01 00:00:20,BATT_CURRENT_1,2.6705,0,0,20,1,1,2,0,0,20.0,2.6705,2.6705,0.0,0.0,0.0,0.0,2.6705,2.6705,2.6705,0.0
2025-01-01 00:00:30,BATT_CURRENT_2,3.2158,0,0,30,1,1,2,0,0,30.0,3.2158,3.2158,0.0,0.0,0.0,0.0,3.2158,3.2158,3.2158,0.0
2025-01-01 00:00:40,BATT_TEMP_1,24.871,0,0,40,1,1,2,0,0,40.0,24.871,24.871,0.0,0.0,0.0,0.0,24.871,24.871,24.871,0.0
2025-01-01 00:00:50,BATT_TEMP_2,27.3172,0,0,50,1,1,2,0,0,50.0,27.3172,27.3172,0.0,0.0,0.0,0.0,27.3172,27.3172,27.3172,0.0
2025-01-01 00:01:00,BATT_SOC,84.0094,0,1,0,1,1,2,0,1,60.0,84.0094,84.0094,0.0,0.0,0.0,0.0,84.0094,84.0094,84.0094,0.0
2025-01-01 00:01:10,SOLAR_PANEL_VOLT_A,32.4209,0,1,10,1,1,2,0,1,70.0,32.4209,32.4209,0.0,0.0,0.0,0.0,32.4209,32.4209,32.4209,0.0
2025-01-01 00:01:20,SOLAR_PANEL_VOLT_B,32.303,0,1,20,1,1,2,0,1,80.0,32.303,32.303,0.0,0.0,0.0,0.0,32.303,32.303,32.303,0.0
2025-01-01 00:01:30,SOLAR_PANEL_CURR_A,6.4958,0,1,30,1,1,2,0,1,90.0,6.4958,6.4958,0.0,0.0,0.0,0.0,6.4958,6.4958,6.4958,0.0
2025-01-01 00:01:40,SOLAR_PANEL_CURR_B,6.6133,0,1,40,1,1,2,0,1,100.0,6.6133,6.6133,0.0,0.0,0.0,0.0,6.6133,6.6133,6.6133,0.0
2025-01-01 00:01:50,SOLAR_POWER_TOTAL,118.6788,0,1,50,1,1,2,0,1,110.0,118.6788,118.6788,0.0,0.0,0.0,0.0,118.6788,118.6788,118.6788,0.0
2025-01-01 00:02:00,BUS_VOLTAGE,28.9878,0,2,0,1,1,2,0,2,120.0,28.9878,28.9878,0.0,0.0,0.0,0.0,28.9878,28.9878,28.9878,0.0
2025-01-01 00:02:10,BUS_CURRENT,9.2612,0,2,10,1,1,2,0,2,130.0,9.2612,9.2612,0.0,0.0,0.0,0.0,9.2612,9.2612,9.2612,0.0
2025-01-01 00:02:20,THRUSTER_TEMP_1,22.9332,0,2,20,1,1,2,0,2,140.0,22.9332,22.9332,0.0,0.0,0.0,0.0,22.9332,22.9332,22.9332,0.0
2025-01-01 00:02:30,THRUSTER_TEMP_2,24.2348,0,2,30,1,1,2,0,2,150.0,24.2348,24.2348,0.0,0.0,0.0,0.0,24.2348,24.2348,24.2348,0.0
2025-01-01 00:02:40,PAYLOAD_TEMP_CAM,24.6703,0,2,40,1,1,2,0,2,160.0,24.6703,24.6703,0.0,0.0,0.0,0.0,24.6703,24.6703,24.6703,0.0
2025-01-01 00:02:50,PAYLOAD_TEMP_SENSOR,25.4353,0,2,50,1,1,2,0,2,170.0,25.4353,25.4353,0.0,0.0,0.0,0.0,25.4353,25.4353,25.4353,0.0
2025-01-01 00:03:00,OBC_TEMP,43.0147,0,3,0,1,1,2,0,3,180.0,43.0147,43.0147,0.0,0.0,0.0,0.0,43.0147,43.0147,43.0147,0.0
2025-01-01 00:03:10,TRANS_TEMP,43.3054,0,3,10,1,1,2,0,3,190.0,43.3054,43.3054,0.0,0.0,0.0,0.0,43.3054,43.3054,43.3054,0.0
2025-01-01 00:03:20,STRUCT_TEMP_PANEL_X,39.2234,0,3,20,1,1,2,0,3,200.0,39.2234,39.2234,0.0,0.0,0.0,0.0,39.2234,39.2234,39.2234,0.0
2025-01-01 00:03:30,STRUCT_TEMP_PANEL_Y,31.2591,0,3,30,1,1,2,0,3,210.0,31.2591,31.2591,0.0,0.0,0.0,0.0,31.2591,31.2591,31.2591,0.0
2025-01-01 00:03:40,STRUCT_TEMP_PANEL_Z,21.7493,0,3,40,1,1,2,0,3,220.0,21.7493,21.7493,0.0,0.0,0.0,0.0,21.7493,21.7493,21.7493,0.0
