timestamp,command,value,hour,minute,second,day,month,weekday,is_weekend,minute_of_day,elapsed_sec
2025-01-01 00:10:45,CMD_CONTINGENCY_2,1,0,10,45,1,1,2,0,10,0.0
2025-01-01 00:13:03,CMD_TELEMETRY_RATE_HIGH,1,0,13,3,1,1,2,0,13,138.0
2025-01-01 00:16:57,CMD_PACKET_STORE_FLUSH,1,0,16,57,1,1,2,0,16,372.0
2025-01-01 00:30:43,CMD_TANK_VENT,1,0,30,43,1,1,2,0,30,1198.0
2025-01-01 00:46:10,CMD_ATTITUDE_HOLD,1,0,46,10,1,1,2,0,46,2125.0
2025-01-01 00:46:44,CMD_FLASH_ERASE,1,0,46,44,1,1,2,0,46,2159.0
2025-01-01 01:00:06,CMD_NADIR_POINT,1,1,0,6,1,1,2,0,60,2961.0
2025-01-01 01:02:10,CMD_ORBIT_RAISE,1,1,2,10,1,1,2,0,62,3085.0
2025-01-01 01:12:59,CMD_ANTENNA_RETRACT,1,1,12,59,1,1,2,0,72,3734.0
2025-01-01 01:16:07,CMD_VALVE2_CLOSE,1,1,16,7,1,1,2,0,76,3922.0
2025-01-01 01:52:53,CMD_RADIATOR_LOUVRE_OPEN,1,1,52,53,1,1,2,0,112,6128.0
2025-01-01 01:54:04,CMD_MAGNETORQUER_Z_ON,1,1,54,4,1,1,2,0,114,6199.0
2025-01-01 02:21:53,CMD_ANTENNA_DEPLOY,1,2,21,53,1,1,2,0,141,7868.0
2025-01-01 02:24:24,CMD_LOAD_SHED_ON,1,2,24,24,1,1,2,0,144,8019.0
2025-01-01 02:41:35,CMD_MANOEUVRE_ABORT,1,2,41,35,1,1,2,0,161,9050.0
2025-01-01 02:51:44,CMD_SCHEDULE_CLEAR,1,2,51,44,1,1,2,0,171,9659.0
2025-01-01 03:16:15,CMD_PAYLOAD_ON,1,3,16,15,1,1,2,0,196,11130.0
2025-01-01 03:22:15,CMD_ECLIPSE_MODE_ENTER,1,3,22,15,1,1,2,0,202,11490.0
2025-01-01 03:31:04,CMD_POWER_MODE_HIGH,1,3,31,4,1,1,2,0,211,12019.0
2025-01-01 03:33:38,CMD_RW_X_SPEED_SET,1,3,33,38,1,1,2,0,213,12173.0
2025-01-01 03:39:04,CMD_RW_Y_DESATURATE,1,3,39,4,1,1,2,0,219,12499.0
2025-01-01 03:43:37,CMD_HEATER_OBC_OFF,1,3,43,37,1,1,2,0,223,12772.0
2025-01-01 03:50:34,CMD_PARAMETER_UPDATE,1,3,50,34,1,1,2,0,230,13189.0
2025-01-01 03:57:00,CMD_UPLINK_DISABLE,1,3,57,0,1,1,2,0,237,13575.0
2025-01-01 04:00:07,CMD_SCHEDULE_EXECUTE,1,4,0,7,1,1,2,0,240,13762.0
2025-01-01 05:07:25,CMD_THRUSTER_SAFE,1,5,7,25,1,1,2,0,307,17800.0
2025-01-01 05:17:42,CMD_STAR_TRACKER_OFF,1,5,17,42,1,1,2,0,317,18417.0
2025-01-01 05:33:46,CMD_MEMORY_CLEAR,1,5,33,46,1,1,2,0,333,19381.0
2025-01-01 05:43:40,CMD_IMAGING_START,1,5,43,40,1,1,2,0,343,19975.0
2025-01-01 05:45:08,CMD_DOWNLINK_SCHEDULE,1,5,45,8,1,1,2,0,345,20063.0
2025-01-01 05:47:25,CMD_BATT_HEATER_ON,1,5,47,25,1,1,2,0,347,20200.0
2025-01-01 05:57:50,CMD_SCHEDULE_UPLOAD,1,5,57,50,1,1,2,0,357,20825.0
2025-01-01 06:03:06,CMD_MAGNETORQUER_X_ON,1,6,3,6,1,1,2,0,363,21141.0
2025-01-01 06:22:23,CMD_CAMERA_GAIN_SET,1,6,22,23,1,1,2,0,382,22298.0
2025-01-01 06:27:31,CMD_RF_RX_ON,1,6,27,31,1,1,2,0,387,22606.0
2025-01-01 06:50:13,CMD_TIME_SYNC,1,6,50,13,1,1,2,0,410,23968.0
2025-01-01 06:52:49,CMD_HARD_RESET,1,6,52,49,1,1,2,0,412,24124.0
2025-01-01 07:25:16,CMD_STAR_TRACKER_ON,1,7,25,16,1,1,2,0,445,26071.0
2025-01-01 07:40:18,CMD_PAYLOAD_HEATER_ON,1,7,40,18,1,1,2,0,460,26973.0
2025-01-01 07:40:21,CMD_UPLINK_ENABLE,1,7,40,21,1,1,2,0,460,26976.0
2025-01-01 07:42:03,CMD_RF_RX_OFF,1,7,42,3,1,1,2,0,462,27078.0
2025-01-01 07:56:13,CMD_CONFIG_UPLOAD,1,7,56,13,1,1,2,0,476,27928.0
2025-01-01 07:58:35,CMD_MAGNETORQUER_Y_ON,1,7,58,35,1,1,2,0,478,28070.0
2025-01-01 08:00:53,CMD_VALVE1_CLOSE,1,8,0,53,1,1,2,0,480,28208.0
2025-01-01 08:07:17,CMD_HEATER_PAYLOAD_OFF,1,8,7,17,1,1,2,0,487,28592.0
2025-01-01 08:10:02,CMD_CONTINGENCY_3,1,8,10,2,1,1,2,0,490,28757.0
2025-01-01 08:14:35,CMD_IMAGING_STOP,1,8,14,35,1,1,2,0,494,29030.0
2025-01-01 08:46:26,CMD_PAYLOAD_STANDBY,1,8,46,26,1,1,2,0,526,30941.0
2025-01-01 08:48:42,CMD_ANTENNA_POINT,1,8,48,42,1,1,2,0,528,31077.0
2025-01-01 08:55:50,CMD_PROP_PRIME,1,8,55,50,1,1,2,0,535,31505.0
2025-01-01 09:01:32,CMD_SAFE_MODE_ENTER,1,9,1,32,1,1,2,0,541,31847.0
2025-01-01 09:03:44,CMD_DEORBIT_BURN,1,9,3,44,1,1,2,0,543,31979.0
2025-01-01 09:10:25,CMD_SUN_POINT,1,9,10,25,1,1,2,0,550,32380.0
2025-01-01 09:19:10,CMD_BATT_CHARGE_OFF,1,9,19,10,1,1,2,0,559,32905.0
2025-01-01 09:36:03,CMD_ORBIT_LOWER,1,9,36,3,1,1,2,0,576,33918.0
2025-01-01 09:46:33,CMD_GYRO_CALIBRATE,1,9,46,33,1,1,2,0,586,34548.0
2025-01-01 09:46:55,CMD_BATT_HEATER_OFF,1,9,46,55,1,1,2,0,586,34570.0
2025-01-01 09:48:23,CMD_SOLAR_TRACK_ON,1,9,48,23,1,1,2,0,588,34658.0
2025-01-01 10:02:13,CMD_PAYLOAD_CONFIG_SET,1,10,2,13,1,1,2,0,602,35488.0
2025-01-01 10:10:45,CMD_RW_Z_DESATURATE,1,10,10,45,1,1,2,0,610,36000.0
2025-01-01 10:10:55,CMD_PAYLOAD_CAL,1,10,10,55,1,1,2,0,610,36010.0
2025-01-01 10:28:33,CMD_CONFIG_DOWNLOAD,1,10,28,33,1,1,2,0,628,37068.0
2025-01-01 10:29:44,CMD_TX_POWER_HIGH,1,10,29,44,1,1,2,0,629,37139.0
2025-01-01 10:32:28,CMD_ATTITUDE_ADJUST,1,10,32,28,1,1,2,0,632,37303.0
2025-01-01 10:42:34,CMD_THRUSTER2_FIRE,1,10,42,34,1,1,2,0,642,37909.0
2025-01-01 10:56:44,CMD_MANOEUVRE_START,1,10,56,44,1,1,2,0,656,38759.0
2025-01-01 11:24:38,CMD_HEATER_THRUSTER1_ON,1,11,24,38,1,1,2,0,684,40433.0
2025-01-01 11:55:30,CMD_MEMORY_CHECK,1,11,55,30,1,1,2,0,715,42285.0
2025-01-01 11:58:47,CMD_ADCS_MODE_SAFE,1,11,58,47,1,1,2,0,718,42482.0
2025-01-01 12:13:21,CMD_HEALTH_CHECK,1,12,13,21,1,1,2,0,733,43356.0
2025-01-01 12:42:57,CMD_WATCHDOG_RESET,1,12,42,57,1,1,2,0,762,45132.0
2025-01-01 12:51:00,CMD_COMM_RESET,1,12,51,0,1,1,2,0,771,45615.0
2025-01-01 12:51:54,CMD_SOLAR_PANEL_DEPLOY,1,12,51,54,1,1,2,0,771,45669.0
2025-01-01 12:57:42,CMD_REBOOT_OBC,1,12,57,42,1,1,2,0,777,46017.0
2025-01-01 13:05:19,CMD_THERMAL_CTRL_MANUAL,1,13,5,19,1,1,2,0,785,46474.0
2025-01-01 13:14:34,CMD_ADCS_RESET,1,13,14,34,1,1,2,0,794,47029.0
2025-01-01 13:29:04,CMD_QUATERNION_SET,1,13,29,4,1,1,2,0,809,47899.0
2025-01-01 13:38:55,CMD_EMERGENCY_MODE,1,13,38,55,1,1,2,0,818,48490.0
2025-01-01 13:51:04,CMD_MAGNETORQUER_Z_OFF,1,13,51,4,1,1,2,0,831,49219.0
2025-01-01 13:51:14,CMD_CONTINGENCY_1,1,13,51,14,1,1,2,0,831,49229.0
2025-01-01 13:53:13,CMD_FIRMWARE_VERIFY,1,13,53,13,1,1,2,0,833,49348.0
2025-01-01 14:25:02,CMD_CPU_THROTTLE_50,1,14,25,2,1,1,2,0,865,51257.0
2025-01-01 14:48:43,CMD_DIAG_RUN,1,14,48,43,1,1,2,0,888,52678.0
2025-01-01 15:00:12,CMD_MISSION_ABORT,1,15,0,12,1,1,2,0,900,53367.0
2025-01-01 15:00:13,CMD_SOLAR_TRACK_OFF,0,15,0,13,1,1,2,0,900,53368.0
2025-01-01 15:00:43,CMD_TELEMETRY_RATE_NOMINAL,1,15,0,43,1,1,2,0,900,53398.0
2025-01-01 15:00:58,CMD_RW_Z_SPEED_SET,1,15,0,58,1,1,2,0,900,53413.0
2025-01-01 15:01:03,CMD_THERMAL_CTRL_AUTO,1,15,1,3,1,1,2,0,901,53418.0
2025-01-01 15:18:19,CMD_SOFT_RESET,1,15,18,19,1,1,2,0,918,54454.0
2025-01-01 15:23:49,CMD_DOWNLINK_START,1,15,23,49,1,1,2,0,923,54784.0
2025-01-01 15:24:03,CMD_RADIATOR_LOUVRE_CLOSE,0,15,24,3,1,1,2,0,924,54798.0
2025-01-01 15:25:44,CMD_MODULATION_BPSK,1,15,25,44,1,1,2,0,925,54899.0
2025-01-01 15:32:38,CMD_BATT_DISCHARGE_MODE,1,15,32,38,1,1,2,0,932,55313.0
2025-01-01 16:24:02,CMD_GROUND_PASS_PREP,1,16,24,2,1,1,2,0,984,58397.0
2025-01-01 16:41:49,CMD_RW_Y_SPEED_SET,1,16,41,49,1,1,2,0,1001,59464.0
2025-01-01 16:47:41,CMD_PAYLOAD_DATA_DOWNLOAD,1,16,47,41,1,1,2,0,1007,59816.0
2025-01-01 17:01:02,CMD_TX_POWER_LOW,1,17,1,2,1,1,2,0,1021,60617.0
2025-01-01 17:05:18,CMD_THRUSTER_ALL_FIRE,1,17,5,18,1,1,2,0,1025,60873.0
2025-01-01 17:15:18,CMD_PROP_RESET,1,17,15,18,1,1,2,0,1035,61473.0
